[2025-11-01 15:16:18,895] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-11-01 15:16:25,991] INFO django.server: "GET /admin/projects/contributor/ HTTP/1.1" 302 0
[2025-11-01 15:16:26,128] INFO django.server: "GET /admin/login/?next=/admin/projects/contributor/ HTTP/1.1" 200 4212
[2025-11-01 15:16:26,148] INFO django.server: "GET /static/admin/css/login.css HTTP/1.1" 304 0
[2025-11-01 15:16:28,777] INFO django.server: "POST /admin/login/?next=/admin/projects/contributor/ HTTP/1.1" 302 0
[2025-11-01 15:16:28,802] INFO django.server: "GET /admin/projects/contributor/ HTTP/1.1" 200 12715
[2025-11-01 15:16:28,842] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 15:16:33,180] INFO django.server: "GET /admin/accounts/user/ HTTP/1.1" 200 13660
[2025-11-01 15:16:33,211] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 15:16:35,241] INFO django.server: "GET /admin/accounts/user/add/ HTTP/1.1" 200 24607
[2025-11-01 15:16:35,264] INFO django.server: "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[2025-11-01 15:16:35,274] INFO django.server: "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[2025-11-01 15:16:35,277] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[2025-11-01 15:16:35,280] INFO django.server: "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[2025-11-01 15:16:35,282] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[2025-11-01 15:16:35,287] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 15:16:35,287] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[2025-11-01 15:16:35,358] INFO django.server: "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
[2025-11-01 15:16:42,103] INFO django.server: "GET /admin/accounts/user/ HTTP/1.1" 200 13660
[2025-11-01 15:16:46,794] INFO django.server: "GET /admin/accounts/user/1/change/ HTTP/1.1" 200 25035
[2025-11-01 15:16:46,820] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 15:16:51,365] INFO django.server: "POST /admin/accounts/user/1/change/ HTTP/1.1" 302 0
[2025-11-01 15:16:51,382] INFO django.server: "GET /admin/accounts/user/ HTTP/1.1" 200 13863
[2025-11-01 15:16:51,418] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[2025-11-01 15:16:51,432] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[2025-11-01 15:17:01,868] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 167
[2025-11-01 15:17:01,880] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 167
[2025-11-01 15:17:06,435] INFO django.server: "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[2025-11-01 15:17:07,342] INFO django.server: "POST /api/auth/login/ HTTP/1.1" 200 566
[2025-11-01 15:17:07,391] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 167
[2025-11-01 15:17:07,402] INFO django.server: "GET /api/project/dashboard/ HTTP/1.1" 200 167
[2025-11-01 15:17:10,747] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 52
[2025-11-01 15:17:10,752] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 52
[2025-11-01 15:17:51,304] INFO django.server: "OPTIONS /api/project/projects/ HTTP/1.1" 200 0
[2025-11-01 15:17:51,317] INFO django.server: "POST /api/project/projects/ HTTP/1.1" 201 248
[2025-11-01 15:17:51,378] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 250
[2025-11-01 15:17:51,394] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 250
[2025-11-01 15:17:56,472] INFO django.server: "OPTIONS /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 0
[2025-11-01 15:17:56,475] INFO django.server: "OPTIONS /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 0
[2025-11-01 15:17:56,482] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 52
[2025-11-01 15:17:56,489] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 52
[2025-11-01 15:20:05,370] INFO django.server: "OPTIONS /api/project/contributors/ HTTP/1.1" 200 0
[2025-11-01 15:20:06,104] INFO django.server: "POST /api/project/contributors/ HTTP/1.1" 201 286
[2025-11-01 15:20:09,059] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 284
[2025-11-01 15:20:09,066] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 284
[2025-11-01 15:20:52,408] INFO django.server: "POST /api/project/contributors/ HTTP/1.1" 201 277
[2025-11-01 15:20:55,081] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:20:55,094] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:20:57,137] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 52
[2025-11-01 15:20:57,145] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 52
[2025-11-01 15:20:59,379] INFO django.server: "OPTIONS /api/project/projects/?search= HTTP/1.1" 200 0
[2025-11-01 15:20:59,379] INFO django.server: "OPTIONS /api/project/contributors/?search= HTTP/1.1" 200 0
[2025-11-01 15:20:59,384] INFO django.server: "OPTIONS /api/project/projects/?search= HTTP/1.1" 200 0
[2025-11-01 15:20:59,385] INFO django.server: "OPTIONS /api/project/contributors/?search= HTTP/1.1" 200 0
[2025-11-01 15:20:59,392] INFO django.server: "GET /api/project/contributors/?search= HTTP/1.1" 200 508
[2025-11-01 15:20:59,396] INFO django.server: "GET /api/project/projects/?search= HTTP/1.1" 200 250
[2025-11-01 15:20:59,408] INFO django.server: "GET /api/project/contributors/?search= HTTP/1.1" 200 508
[2025-11-01 15:20:59,411] INFO django.server: "GET /api/project/projects/?search= HTTP/1.1" 200 250
[2025-11-01 15:21:34,765] INFO django.server: "OPTIONS /api/project/tasks/ HTTP/1.1" 200 0
[2025-11-01 15:21:34,803] INFO projects.signals: [clear_due_task_cache]============== Delete cache ===============
[2025-11-01 15:21:34,816] INFO django.server: "POST /api/project/tasks/ HTTP/1.1" 201 697
[2025-11-01 15:21:34,914] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 702
[2025-11-01 15:21:34,925] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 702
[2025-11-01 15:21:37,781] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 250
[2025-11-01 15:21:37,789] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 250
[2025-11-01 15:22:02,764] INFO django.server: "POST /api/project/projects/ HTTP/1.1" 201 229
[2025-11-01 15:22:02,816] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 430
[2025-11-01 15:22:02,824] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 430
[2025-11-01 15:22:04,440] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:04,450] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:06,932] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 430
[2025-11-01 15:22:06,940] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 430
[2025-11-01 15:22:42,632] INFO django.server: "POST /api/project/projects/ HTTP/1.1" 201 237
[2025-11-01 15:22:42,709] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 618
[2025-11-01 15:22:42,721] INFO django.server: "GET /api/project/projects/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 618
[2025-11-01 15:22:44,258] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:44,268] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:47,972] INFO django.server: "OPTIONS /api/project/contributors/1/ HTTP/1.1" 200 0
[2025-11-01 15:22:47,972] INFO django.server: "OPTIONS /api/project/contributors/1/ HTTP/1.1" 200 0
[2025-11-01 15:22:47,981] INFO django.server: "GET /api/project/contributors/1/ HTTP/1.1" 200 232
[2025-11-01 15:22:47,989] INFO django.server: "GET /api/project/contributors/1/ HTTP/1.1" 200 232
[2025-11-01 15:22:53,988] INFO django.server: "PUT /api/project/contributors/1/ HTTP/1.1" 200 273
[2025-11-01 15:22:54,040] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:54,052] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:57,082] INFO django.server: "GET /api/project/contributors/1/ HTTP/1.1" 200 232
[2025-11-01 15:22:57,090] INFO django.server: "GET /api/project/contributors/1/ HTTP/1.1" 200 232
[2025-11-01 15:22:58,009] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:58,020] INFO django.server: "GET /api/project/contributors/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 508
[2025-11-01 15:22:59,187] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 702
[2025-11-01 15:22:59,195] INFO django.server: "GET /api/project/tasks/?search=&page=1&page_size=10&ordering= HTTP/1.1" 200 702
[2025-11-01 15:23:01,286] INFO django.server: "OPTIONS /api/project/tasks/1/ HTTP/1.1" 200 0
[2025-11-01 15:23:01,292] INFO django.server: "OPTIONS /api/project/tasks/1/ HTTP/1.1" 200 0
[2025-11-01 15:23:01,303] INFO django.server: "GET /api/project/contributors/?search= HTTP/1.1" 200 508
[2025-11-01 15:23:01,303] INFO django.server: "GET /api/project/projects/?search= HTTP/1.1" 200 618
[2025-11-01 15:23:01,311] INFO django.server: "GET /api/project/tasks/1/ HTTP/1.1" 200 650
[2025-11-01 15:23:01,327] INFO django.server: "GET /api/project/contributors/?search= HTTP/1.1" 200 508
[2025-11-01 15:23:01,327] INFO django.server: "GET /api/project/projects/?search= HTTP/1.1" 200 618
